bill_uid,state_code,state,identifier,chamber,title,classification,furthest_stage,lifecycle_state,primary_sponsor,primary_sponsor_party,subjects,first_action_date,latest_action_date,source_count,sources,state_population,is_enacted,reached_passed_chamber,days_active,days_since_last_action,primary_topic
CO:2026:HB1001,CO,Colorado,HB 1001,House,Housing Developments on Qualifying Properties,bill,enacted,enacted,,,,,2026-03-25,1,legiscan,5900000,1,1,,103,
CO:2026:HB1002,CO,Colorado,HB 1002,House,Provider Participation in Health Insurance,bill,enacted,enacted,,,,,2026-04-27,1,legiscan,5900000,1,1,,70,
CO:2026:HB1003,CO,Colorado,HB 1003,House,Small Business Recovery Modifications,bill,enacted,enacted,,,,,2026-05-29,1,legiscan,5900000,1,1,,38,
CO:2026:HB1004,CO,Colorado,HB 1004,House,Continuation of Child Care Contribution Tax Credit,bill,enacted,enacted,,,,,2026-05-28,1,legiscan,5900000,1,1,,39,
CO:2026:HB1005,CO,Colorado,HB 1005,House,Worker Protection Collective Bargaining,bill,passed_chamber,dead,,,,,2026-05-28,1,legiscan,5900000,0,1,,39,
CO:2026:HB1006,CO,Colorado,HB 1006,House,Thriving Institution Designations for Higher Education,bill,enacted,enacted,,,,,2026-06-01,1,legiscan,5900000,1,1,,35,
CO:2026:HB1007,CO,Colorado,HB 1007,House,Improve Customer Use Distributed Energy Resources,bill,enacted,enacted,,,,,2026-05-07,1,legiscan,5900000,1,1,,60,
CO:2026:HB1008,CO,Colorado,HB 1008,House,Colorado Outdoor Opportunities Act,bill,enacted,enacted,,,,,2026-05-27,1,legiscan,5900000,1,1,,40,
CO:2026:HB1009,CO,Colorado,HB 1009,House,Colorado Mandatory Lethality Assessment Act,bill,enacted,enacted,,,,,2026-06-03,1,legiscan,5900000,1,1,,33,
CO:2026:HB1010,CO,Colorado,HB 1010,House,Older Adult Support &amp; Representation in Workforce,bill,enacted,enacted,J. Jackson,,Labor & Employment,2026-01-14,2026-06-02,2,"legiscan,openstates",5900000,1,1,139.0,34,Labor & Employment
CO:2026:HB1011,CO,Colorado,HB 1011,House,Transfers of Certain Pet Animals,bill,enacted,enacted,,,,,2026-04-29,1,legiscan,5900000,1,1,,68,
